track_id,frame,timestamp,role,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
2,30,5.001,near_player,0.886,32,279,271,588,117.78,305.56,0.526,122.40,298.92,0.552,0.00,0.00,0.116,134.43,304.43,0.885,0.00,0.00,0.217,131.93,332.11,0.997,182.40,324.92,0.958,76.16,363.36,0.991,194.26,365.48,0.743,21.49,356.01,0.965,170.52,379.09,0.673,177.21,415.15,0.999,211.93,413.77,0.994,169.66,492.57,0.996,224.56,487.42,0.987,172.90,571.51,0.984,245.12,560.91,0.966
3,30,5.001,other,0.821,1615,184,1753,710,1716.46,230.07,0.914,0.00,0.00,0.427,1704.87,221.80,0.945,0.00,0.00,0.092,1672.39,230.24,0.951,1688.42,284.23,0.935,1660.27,286.96,0.995,1712.78,349.31,0.550,1699.44,354.00,0.980,1736.21,359.38,0.520,1734.81,347.22,0.943,1671.32,445.33,0.982,1654.13,446.24,0.995,1676.39,555.51,0.963,1672.62,559.11,0.990,1642.49,664.96,0.909,1646.34,672.00,0.956
4,30,5.001,other,0.842,1072,349,1292,626,1094.88,390.49,0.520,1095.42,384.95,0.500,0.00,0.00,0.147,1102.52,380.36,0.782,0.00,0.00,0.218,1124.98,394.32,0.994,1155.80,364.88,0.934,1119.13,440.87,0.981,1181.13,380.97,0.680,1105.91,441.15,0.935,1166.90,385.59,0.603,1203.11,432.89,0.998,1228.91,422.61,0.993,1167.53,514.53,0.997,1233.54,498.23,0.991,1171.41,598.05,0.991,1274.25,583.01,0.981
5,30,5.001,other,0.758,1760,314,1873,523,1822.75,344.45,0.973,1827.47,339.14,0.930,1816.80,338.48,0.971,1833.71,343.14,0.575,1805.02,340.86,0.923,1839.71,371.45,0.997,1787.66,368.68,0.998,1847.46,412.24,0.930,1777.05,412.01,0.980,1828.26,421.99,0.889,1806.76,423.16,0.957,1830.22,435.09,0.993,1791.57,434.83,0.994,1852.09,442.20,0.978,1779.51,443.49,0.985,1849.42,503.88,0.949,1774.49,504.97,0.962
1,35,5.834,other,0.863,378,301,660,775,0.00,0.00,0.487,0.00,0.00,0.080,571.17,332.37,0.554,0.00,0.00,0.217,561.83,330.62,0.943,473.92,369.68,0.970,555.49,376.13,0.998,457.74,450.10,0.743,572.76,455.82,0.990,497.11,480.86,0.646,626.72,464.46,0.957,430.00,503.23,0.995,490.68,509.36,0.999,478.86,595.82,0.991,577.84,606.95,0.997,424.90,697.71,0.979,529.82,716.78,0.990
2,35,5.834,near_player,0.859,81,276,278,590,0.00,0.00,0.108,0.00,0.00,0.059,0.00,0.00,0.050,195.33,309.93,0.618,226.25,305.56,0.569,190.47,339.98,0.985,248.92,331.20,0.990,183.42,387.52,0.853,270.11,373.81,0.919,185.89,408.06,0.637,266.76,396.65,0.735,205.39,424.28,0.996,248.79,419.60,0.997,188.23,495.65,0.991,261.72,491.62,0.992,174.64,567.54,0.982,270.53,560.30,0.984
3,35,5.834,other,0.782,1619,186,1752,710,1716.36,233.54,0.910,0.00,0.00,0.434,1705.31,224.62,0.940,0.00,0.00,0.101,1674.19,231.61,0.945,1689.11,285.06,0.933,1661.92,288.09,0.995,1703.29,351.66,0.554,1685.38,360.56,0.981,1733.80,362.34,0.533,1734.24,359.46,0.947,1681.98,437.31,0.983,1665.36,439.53,0.996,1682.65,549.63,0.966,1679.15,554.47,0.991,1646.12,661.69,0.916,1643.97,670.11,0.960
4,35,5.834,other,0.824,1112,313,1304,623,0.00,0.00,0.499,1186.97,326.74,0.589,0.00,0.00,0.092,1200.19,322.40,0.917,0.00,0.00,0.154,1219.58,347.55,0.997,1250.96,345.14,0.934,1212.94,392.40,0.992,1276.02,390.50,0.598,1201.12,414.50,0.964,1245.93,410.70,0.516,1242.58,444.68,0.998,1270.07,442.78,0.991,1199.15,520.00,0.996,1258.78,520.21,0.980,1185.17,592.78,0.982,1284.42,588.22,0.953
5,35,5.834,other,0.674,1760,319,1874,522,1832.64,347.85,0.947,1836.29,342.24,0.871,1826.98,342.54,0.932,1839.97,346.46,0.557,1812.87,346.75,0.805,1850.07,374.82,0.990,1792.88,374.57,0.995,1859.00,413.82,0.885,1771.53,410.58,0.959,1845.03,430.93,0.826,1788.55,424.82,0.912,1840.36,437.56,0.983,1801.06,437.86,0.988,1855.60,441.18,0.953,1783.09,441.19,0.966,1855.08,503.82,0.917,1775.31,504.54,0.933
1,40,6.668,other,0.894,402,313,781,753,0.00,0.00,0.462,0.00,0.00,0.108,0.00,0.00,0.378,0.00,0.00,0.362,685.87,362.52,0.837,605.36,375.73,0.980,678.54,393.93,0.998,527.07,402.07,0.846,730.94,442.11,0.990,513.10,394.74,0.740,804.69,443.77,0.953,556.37,499.25,0.998,618.74,505.82,0.999,500.94,580.68,0.996,693.60,591.45,0.998,420.29,682.70,0.986,732.78,698.04,0.993
